TITULO;IMPACTO;TIEMPO_SOLUCION
"""SERVIDORES AIX Necesidad: Crecimiento vegetativo Servidores AIX: apbog55a/apbog56b Tamaño: 3 TB  (30 discos 100GB) Tiempo proyectado: 2 Ambiente: Produccion BD :OPCBSP		""";Baja;30
Buen día, Se solicitan permisos de update, para la base de datos de CRM OPCRM  instancia: pwp-sqlserver-pwp-prod.database.windows.net Bases de datos: apbog07apbog08b Esquema: C90OC Aplicación: Occicliente CRM Tablas: c90oc.psprcsrqst usuarios: lmmolano Ambiente: Producción Tiempo de permiso: 3 días Datos enmascarados: NO Tipo de personas: Funcionarios Código empleado: 92989 Código SAP: 90018491 Cedula:1023968619 Nombre: Leidy Milena Molano Diaz Perfil: Analista senior tecnología;Baja;30
Descripción General: Se requieren permisos para atender cierre y los temas urgentes usuario: VKUMAR BD: OPCBSP Aplicación: FLEXCUBE ambiente: PRODUCCION Tiempo (Vigencia): 5 Días Datos enmascarados: NO Tipo de persona: Proveedor Código empleado O Cedula: 1078594  Nombre: Venkata Kumar Perfil: Proveedor Sophos Vigencia: 5 días Fin de la vigencia: 05/08/2024  Permisos: SELECT, DML Tipo objetos : TABLAS esquema : FCJADM, FCJADM_PR y ADMFCA Objeto: TODOS  Permisos: EXECUTE Tipo objetos : FUNCTION, PROCEDURE, PACKAGE, PACKAGE BODY, TRIGGER, SEQUENCE, SYNONYM, VIEW esquema : FCJADM, FCJADM_PR y ADMFCA Objeto: TODOS  Además asegurar que el usuario tenga: 1. Permisos DML para las siguientes tablas:   plsql_profiler_runs   plsql_profiler_data   plsql_profiler_units  2. Permiso de Execute, DML, Select sobre los objetos nuevos de los esquemas (FCJADM, FCJADM_PR y ADMFCA)  3. Permisos para crear jobs(execute sobre la DBM_SCHEDULER) (IMPORTANTE! de manera directa al usuario)  4. Permisos de select y Execute sobre los objetos: dba_% all_% user_% gv$% v$% dbms_%  5. Permisos por Create DBA Jobs. (Importante)  Roles (Si los conoce): NA Justificación: Con el fin de atender procesos que fallen en el fin de dia y temas urgentes se requieren estos permisos  6. Permiso de execute DBMS_PROFILER;Baja;30
Descripción General: Se requieren permisos para atender cierre y los temas urgentes. Hay muchos problemas activos/incidentes en Activas. Por lo tanto, estaremos automatizando los scripts para tener una pronta solución de los IM para el área de soporte G-OS23.  usuario: GKUMAR BD: OPFCGGUS Aplicación: FLEXCUBE ambiente: PRODUCCION Tiempo (Vigencia): 5 Días Datos enmascarados: NO Tipo de persona: Proveedor Código empleado O Cedula: 531409  Nombre: Gaurav Kumar Perfil: Proveedor Sophos Vigencia: 5 días Fin de la vigencia: 05/08/2024   Permisos: EXECUTE Tipo objetos : FUNCTION, PROCEDURE, PACKAGE, PACKAGE BODY, TRIGGER, SEQUENCE, SYNONYM, VIEW esquema : FCJADM, FCJADM_PR y ADMFCA Objeto: TODOS  Además asegurar que el usuario tenga:  1. Permisos para crear jobs(execute sobre la DBM_SCHEDULER) (IMPORTANTE! de manera directa al usuario)  2. Permisos de select y Execute sobre los objetos: dba_% all_% user_% gv$% v$% dbms_%  3. Permisos por Create DBA Jobs. (Importante)  Roles (Si los conoce): NA Justificación: Con el fin de atender procesos que fallen en el fin de dia y temas urgentes se requieren estos permisos  -----------------------------------------------------------------------------------  GRANT PERMISOS DE DDL a GKUMAR en el esquema de GKUMAR.  4.GRANT select sobre el esquema ADMFCA,  5.ALTER user GKUMAR QUOTA 100M on USERS,  6.GRANT 15GB TABLESPACE to GKUMAR,  7. CREATE  GRANT CREATE OBJETOS a GKUMAR,  Eg: GRANT CREATE TABLE, VIEW, CREATE PROCEDURE, CREATE SEQUENCE, CREATE TRIGGER, CREATE SYNONYM, etc to GKUMAR,  8. ALTER  GRANT ALTER OBJETOS a GKUMAR,  Eg: GRANT ALTER TABLE to GKUMAR, GRANT ALTER VIEW to GKUMAR, GRANT ALTER PROCEDURE to GKUMAR, GRANT ALTER SEQUENCE to GKUMAR, GRANT ALTER TRIGGER to GKUMAR, GRANT ALTER SYNONYM to GKUMAR,  9. INSERT, UPDATE y DELETE  GRANT INSERT, UPDATE y DELETE TABLE to GKUMAR,  10. DROP  GRANT DROP OBJETOS a GKUMAR,  Eg: GRANT Drop TABLE to GKUMAR, GRANT Drop VIEW to GKUMAR, GRANT Drop PROCEDURE to GKUMAR, GRANT Drop SEQUENCE to GKUMAR, GRANT Drop TRIGGER to GKUMAR, GRANT Drop SYNONYM to GKUMAR,  11. Asigna el perfile de APL_SOPORTE_DML,  12. grant select on admfca.cltm_product_cu to GKUMAR,  13. grant select on admfca.cltm_product_class to GKUMAR,  14. grant select on admfca.CLTM_ECONOMIC_DESTINATION to GKUMAR,  15. grant select on admfca.cltm_product_c1 to GKUMAR,  16. grant select on admfca.acvw_all_ac_entries to GKUMAR,  17. grant select on admfca.cltm_product to GKUMAR,  18. grant select on admfca.cltb_amount_recd to GKUMAR,;Baja;30
Descripción General: Se requieren permisos para atender cierre y los temas urgentes. Hay muchos problemas activos/incidentes en Activas. Por lo tanto, estaremos automatizando los scripts para tener una pronta solución de los IM para el área de soporte G-OS23.  usuario: PSAHALLY BD: OPFCGGUS Aplicación: FLEXCUBE ambiente: PRODUCCION Tiempo (Vigencia): 5 Días Datos enmascarados: NO Tipo de persona: Proveedor Código empleado O Cedula: 367423  Nombre: Puttalingegowda Sahally Lingaiah Perfil: Proveedor Sophos Vigencia: 5 días Fin de la vigencia: 05/08/2024   Permisos: EXECUTE Tipo objetos : FUNCTION, PROCEDURE, PACKAGE, PACKAGE BODY, TRIGGER, SEQUENCE, SYNONYM, VIEW esquema : FCJADM, FCJADM_PR y ADMFCA Objeto: TODOS  Además asegurar que el usuario tenga:  1. Permisos para crear jobs(execute sobre la DBM_SCHEDULER) (IMPORTANTE! de manera directa al usuario)  2. Permisos de select y Execute sobre los objetos: dba_% all_% user_% gv$% v$% dbms_%  3. Permisos por Create DBA Jobs. (Importante)  Roles (Si los conoce): NA Justificación: Con el fin de atender procesos que fallen en el fin de dia y temas urgentes se requieren estos permisos  -----------------------------------------------------------------------------------  GRANT PERMISOS DE DDL a PSAHALLY en el esquema de PSAHALLY.  4. CREATE  GRANT CREATE OBJETOS a PSAHALLY  Eg: GRANT CREATE TABLE, VIEW, CREATE PROCEDURE, CREATE SEQUENCE, CREATE TRIGGER, CREATE SYNONYM, etc to PSAHALLY,  5. ALTER  GRANT ALTER OBJETOS a PSAHALLY,  Eg: GRANT ALTER TABLE to PSAHALLY, GRANT ALTER VIEW to PSAHALLY, GRANT ALTER PROCEDURE to PSAHALLY, GRANT ALTER SEQUENCE to PSAHALLY, GRANT ALTER TRIGGER to PSAHALLY, GRANT ALTER SYNONYM to PSAHALLY,  6. INSERT, UPDATE y DELETE  GRANT INSERT, UPDATE y DELETE TABLE to PSAHALLY,  7. DROP  GRANT DROP OBJETOS a PSAHALLY,  Eg: GRANT Drop TABLE to PSAHALLY, GRANT Drop VIEW to PSAHALLY, GRANT Drop PROCEDURE to PSAHALLY, GRANT Drop SEQUENCE to PSAHALLY, GRANT Drop TRIGGER to PSAHALLY, GRANT Drop SYNONYM to PSAHALLY,  8. Asigna el perfile de APL_SOPORTE_DML;Baja;30
Descripción General: Se requieren permisos para atender cierre y los temas urgentes usuario: GPRASAD BD: OPCBSP Aplicación: FLEXCUBE ambiente: PRODUCCION Tiempo (Vigencia): 5 Días Datos enmascarados: NO Tipo de persona: Proveedor Código empleado O Cedula: 638895  Nombre: Ganesh Prasad Das Perfil: Proveedor Sophos Vigencia: 5 días Fin de la vigencia: 05/08/2024  Permisos: SELECT, DML Tipo objetos : TABLAS esquema : FCJADM, FCJADM_PR y ADMFCA Objeto: TODOS  Permisos: EXECUTE Tipo objetos : FUNCTION, PROCEDURE, PACKAGE, PACKAGE BODY, TRIGGER, SEQUENCE, SYNONYM, VIEW esquema : FCJADM, FCJADM_PR y ADMFCA Objeto: TODOS  Además asegurar que el usuario tenga: 1. Permisos DML para las siguientes tablas:   plsql_profiler_runs   plsql_profiler_data   plsql_profiler_units  2. Permiso de Execute, DML, Select sobre los objetos nuevos de los esquemas (FCJADM, FCJADM_PR y ADMFCA)  3. Permiso de execute dbms_scheduler paquete y crear los Jobs.  4. Permisos de select y Execute sobre los objetos: dba_% all_% user_% gv$% v$% dbms_%  5. Permisos por Create DBA Jobs. (Importante)  6. Permiso de execute DBMS_PROFILER  7. Permisos de EXECUTE sobre DBMS_LOCK  8. Permisos de EXECUTE DBMS_MONITOR  Roles (Si los conoce): NA Justificación: Con el fin de atender procesos que fallen en el fin de dia y temas urgentes se requieren estos permisos;Baja;30
Descripción General: Se requieren permisos para atender cierre y los temas urgentes. Hay muchos problemas activos/incidentes en Activas. Por lo tanto, estaremos automatizando los scripts para tener una pronta solución de los IM para el área de soporte G-OS23.  usuario: RPARAMASIVAN BD: OPFCGGUS Aplicación: FLEXCUBE ambiente: PRODUCCION Tiempo (Vigencia): 5 Días Datos enmascarados: NO Tipo de persona: Proveedor Código empleado O Cedula: 968846089599  Nombre: RAMESH PARAMASIVAN Perfil: Proveedor Sophos Vigencia: 5 días Fin de la vigencia: 05/08/2024   Permisos: EXECUTE Tipo objetos : FUNCTION, PROCEDURE, PACKAGE, PACKAGE BODY, TRIGGER, SEQUENCE, SYNONYM, VIEW esquema : FCJADM, FCJADM_PR y ADMFCA Objeto: TODOS  Además asegurar que el usuario tenga:  1. Permisos para crear jobs(execute sobre la DBM_SCHEDULER) (IMPORTANTE! de manera directa al usuario)  2. Permisos de select y Execute sobre los objetos: dba_% all_% user_% gv$% v$% dbms_%  3. Permisos por Create DBA Jobs. (Importante)  Roles (Si los conoce): NA Justificación: Con el fin de atender procesos que fallen en el fin de dia y temas urgentes se requieren estos permisos  -----------------------------------------------------------------------------------  GRANT PERMISOS DE DDL a RPARAMASIVAN en el esquema de RPARAMASIVAN.  4. CREATE  GRANT CREATE OBJETOS a RPARAMASIVAN  Eg: GRANT CREATE TABLE, VIEW, CREATE PROCEDURE, CREATE SEQUENCE, CREATE TRIGGER, CREATE SYNONYM, etc to RPARAMASIVAN,  5. ALTER  GRANT ALTER OBJETOS a RPARAMASIVAN,  Eg: GRANT ALTER TABLE to RPARAMASIVAN, GRANT ALTER VIEW to RPARAMASIVAN, GRANT ALTER PROCEDURE to RPARAMASIVAN, GRANT ALTER SEQUENCE to RPARAMASIVAN, GRANT ALTER TRIGGER to RPARAMASIVAN, GRANT ALTER SYNONYM to RPARAMASIVAN,  6. INSERT, UPDATE y DELETE  GRANT INSERT, UPDATE y DELETE TABLE to RPARAMASIVAN,  7. DROP  GRANT DROP OBJETOS a RPARAMASIVAN,  Eg: GRANT Drop TABLE to RPARAMASIVAN, GRANT Drop VIEW to RPARAMASIVAN, GRANT Drop PROCEDURE to RPARAMASIVAN, GRANT Drop SEQUENCE to RPARAMASIVAN, GRANT Drop TRIGGER to RPARAMASIVAN, GRANT Drop SYNONYM to RPARAMASIVAN,  8. Asigna el perfile de APL_SOPORTE_DML;Baja;30
Descripción General: Se requieren permisos para atender cierre y los temas urgentes usuario: AKUMAR BD: OPCBSP Aplicación: FLEXCUBE ambiente: PRODUCCION Tiempo (Vigencia): 5 Días Datos enmascarados: NO Tipo de persona: Proveedor Código empleado O Cedula: 1062494  Nombre: Akshay Kumar Perfil: Proveedor Sophos Vigencia: 5 días Fin de la vigencia: 05/08/2024  Permisos: SELECT, DML Tipo objetos : TABLAS esquema : FCJADM, FCJADM_PR y ADMFCA Objeto: TODOS  Permisos: EXECUTE Tipo objetos : FUNCTION, PROCEDURE, PACKAGE, PACKAGE BODY, TRIGGER, SEQUENCE, SYNONYM, VIEW esquema : FCJADM, FCJADM_PR y ADMFCA Objeto: TODOS  Además asegurar que el usuario tenga: 1. Permisos DML para las siguientes tablas:   plsql_profiler_runs   plsql_profiler_data   plsql_profiler_units  2. Permiso de Execute, DML, Select sobre los objetos nuevos de los esquemas (FCJADM, FCJADM_PR y ADMFCA)  3. Permisos para crear jobs(execute sobre la DBM_SCHEDULER) (IMPORTANTE! de manera directa al usuario)  4. Permisos de select y Execute sobre los objetos: dba_% all_% user_% gv$% v$% dbms_%  5. Permisos por Create DBA Jobs. (Importante)  Roles (Si los conoce): NA Justificación: Con el fin de atender procesos que fallen en el fin de dia y temas urgentes se requieren estos permisos  6. Permiso de execute DBMS_PROFILER;Baja;30
Buen día, Se solicitan permisos de update, para la base de datos de CRM OPCRM  instancia: pwp-sqlserver-pwp-prod.database.windows.net Bases de datos: apbog07apbog08b Esquema: C90OC Aplicación: Occicliente CRM Tablas: c90oc.psprcsrqst usuarios: lmmolano Ambiente: Producción Tiempo de permiso: 1 DIA Datos enmascarados: NO Tipo de personas: Funcionarios Código empleado: 92989 Código SAP: 90018491 Cedula:1023968619 Nombre: Leidy Milena Molano Diaz Perfil: Analista senior tecnología;Baja;30
Buen día, Se solicitan permisos de insert para la base de datos de CRM OPCRM, esquema c90oc, tabla ps_rc_solution y ps_rc_resolution  Bases de datos: apbog07apbog08b Esquema: C90OC Aplicación: Occicliente CRM Tablas: ps_rc_solution y ps_rc_resolution usuarios: lmmolano Ambiente: Producción Tiempo de permiso: 2 dias Datos enmascarados: NO Tipo de personas: Funcionarios Código empleado: 92989 Código SAP: 90018491 Cedula:1023968619 Nombre: Leidy Milena Molano Diaz Uusuario de red: LMMOLANO Perfil: Analista senior tecnología;Baja;30
